hanza,mean_sound
率,비율 률/거느릴 솔
律,법칙 률
慄,떨릴 률
隆,높을 륭 
陵,언덕 릉
理,다스릴 리
里,마을 리
利,이로울 리
裏,속 리
吏,관리 리
厘,이 리
梨,배나무 리
痢,설사 리
履,밟을 리
璃,유리 리
離,떠날 리
隣,이웃 린
林,수풀 림
臨,임할 림
立,설 립
粒,낟알 립
馬,말 마
麻,삼 마
摩,문지를 마
磨,갈 마
魔,마귀 마
幕,장막 막
漠,넓을/사막 막
膜,꺼풀/막 막
万,일만 만
満,찰 만
晩,늦을 만
蛮,오랑캐 만
湾,물굽이 만
漫,흩어질 만
慢,거만할 만
末,끝 말
抹,지울 말
望,바랄 망
亡,망할 망
忘,잊을 망
忙,바쁠 망
妄,망령될 망
網,그물 망
毎,매양 매
売,팔 매
妹,누이 매
買,살 매
梅,매화 매
枚,낱 매
昧,어두울 매
埋,묻을 매
媒,중매 매
魅,매혹할 매
罵,꾸짖을 매
麦,보리 맥
脈,줄기 맥
盟,맹세 맹
盲,소경/ 눈 멀 맹
猛,사나울 맹
面,낮 면
勉,힘쓸 면
綿,솜 면
免,면할 면
眠,잘 면
麺,밀가루 면
滅,꺼질/ 멸할 멸
蔑,업신여길 멸
名,이름 명
明,밝을 명
鳴,울 명
皿,그릇 명
命,목숨 명
冥,어두울 명
銘,새길 명
毛,터럭 모
母,어머니 모
模,본뜰 모
暮,저물 모
矛,창 모
侮,업신여길 모
冒,무릅쓸 모
某,아무 모
耗,소모할 모
募,모을/뽑을 모
帽,모자 모
慕,그릴 모
貌,모양 모
謀,꾀 모
木,나무 목
目,눈 목
牧,칠 목
睦,화목할 목
没,빠질 몰
夢,꿈 몽
墓,무덤 묘
妙,묘할 묘
苗,모 묘
畝,이랑 묘
描,그릴 묘
猫,고양이 묘
無,없을 무
武,호반 무
務,힘쓸 무
貿,무역할 무
茂,무성할 무
舞,춤출 무
霧,안개 무
墨,먹 묵
黙,잠잠할 묵
文,글월 문
門,문 문
聞,들을 문
問,물을 문
蚊,모기 문
紋,무늬 문
物,물건 물
米,쌀 미
美,아름다울 미
味,맛 미
未,아닐 미
迷,미혹할 미
尾,꼬리 미
弥,미륵 미
眉,눈썹 미
微,작을 미
謎,수수께끼 미
民,백성 민
敏,민감할 민
密,빽빽할 밀
蜜,꿀 밀
博,넓을 박
朴,성씨 박
泊,머무를/ 배 댈 박
拍,칠 박
迫,핍박할 박
剝,벗길 박
舶,배 박
撲,칠 박
薄,엷을 박
縛,얽을 박
半,반 반
反,돌이킬 반
返,돌이킬 반
飯,밥 반
班,나눌 반
伴,짝 반
畔,밭두둑 반
般,일반 반
斑,얼룩 반
搬,옮길 반
頒,나눌 반
盤,소반 반
発,필 발
抜,뽑을 발
勃,우쩍 일어날 발
鉢,바리때 발
髪,터럭 발
方,모 방
放,놓을 방
訪,찾을 방
防,막을 방
妨,방해할 방
邦,나라 방
芳,꽃다울 방
坊,동네 방
房,방 방
肪,살찔 방
